Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,2282.6953000000003
FDW14,OUT017,1502.9436300000002
NCN55,OUT010,582.575
FDQ58,OUT017,2315.9187200000006
FDY38,OUT027,4737.433320000001
FDH56,OUT046,2574.21583
FDL48,OUT018,1965.7079199999996
FDC48,OUT027,2448.7125300000002
FDN33,OUT045,1746.9926199999998
FDA36,OUT017,2234.2250599999998
FDT44,OUT017,1915.73963
FDQ56,OUT045,1782.3133100000002
NCC54,OUT019,419.08781
FDU11,OUT049,2417.02045
DRL59,OUT013,1608.5062199999998
FDM24,OUT049,2366.35307
FDI57,OUT045,2402.2729799999997
DRC12,OUT018,2624.8499199999997
NCM42,OUT027,2943.3353500000003
FDA46,OUT010,445.88626000000005
FDA31,OUT013,2796.3932899999995
NCJ31,OUT035,2876.12284
FDG52,OUT046,1377.1740100000002
NCL19,OUT019,318.5853
FDS10,OUT035,3354.2671099999993
FDX22,OUT010,299.07736
NCF19,OUT035,1741.0004199999998
NCE06,OUT046,2297.40948
DRC27,OUT046,3209.38903
FDE21,OUT035,1886.7107500000002
NCR42,OUT019,305.83523
FDX51,OUT018,2524.8467600000004
NCR06,OUT018,1225.27174
FDU31,OUT027,5040.73851
FDU59,OUT017,2362.5247200000003
FDR03,OUT027,3859.5094400000007
FDS49,OUT027,3091.8753300000003
FDD48,OUT010,275.00869
NCF18,OUT017,2960.4797
NCD43,OUT027,2943.33535
NCD54,OUT018,1621.82222
FDY19,OUT010,173.97353999999999
NCY54,OUT017,2465.2243699999995
NCL19,OUT018,1930.22078
FDP23,OUT010,514.6301100000001
FDC26,OUT013,2432.89978
FDR14,OUT010,280.90102
NCS41,OUT035,3057.25373
FDF41,OUT035,2874.42505
FDU34,OUT046,2419.7502300000006
DRH11,OUT046,1623.5533000000003
FDM03,OUT013,2058.4205699999998
FDS31,OUT017,2657.57399
FDJ20,OUT017,1991.4743800000003
FDV44,OUT027,4749.950360000001
FDG02,OUT049,2183.0583300000003
FDA09,OUT013,2477.84128
FDT04,OUT013,1318.5170299999997
FDL58,OUT019,321.8477199999999
FDE52,OUT045,1551.7800599999998
FDW12,OUT035,1859.6126900000004
FDL51,OUT017,3022.4656800000002
NCY42,OUT027,3252.03352
FDR07,OUT017,1613.4331399999999
FDN40,OUT045,2084.98599
FDB35,OUT027,2383.26439
FDA22,OUT017,2665.630170000001
