user,churn,age,housing,credit_score,deposits,withdrawal,purchases_partners,purchases,cc_taken,cc_recommended,cc_disliked,cc_liked,cc_application_begin,app_downloaded,web_user,app_web_user,ios_user,android_user,registered_phones,payment_type,waiting_4_loan,cancelled_loan,received_loan,rejected_loan,zodiac_sign,left_for_two_month_plus,left_for_one_month,rewards_earned,reward_rate,is_referred
55409,0,37.0,na,,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,Bi-Weekly,0,0,0,0,Leo,1,0,,0.0,0
23547,0,28.0,R,486.0,0,0,1,0,0,96,0,0,5,1,1,1,1,0,0,Weekly,0,0,0,0,Leo,0,0,44.0,1.47,1
58313,0,35.0,R,561.0,47,2,86,47,0,285,0,0,9,1,0,0,0,1,2,Semi-Monthly,0,0,0,0,Capricorn,1,0,65.0,2.17,0
8095,0,26.0,R,567.0,26,3,38,25,0,74,0,0,26,1,0,0,0,1,0,Bi-Weekly,0,0,0,0,Capricorn,0,0,33.0,1.1,1
61353,1,27.0,na,,0,0,2,0,0,0,0,0,0,1,1,1,0,1,0,Bi-Weekly,0,0,0,0,Aries,1,0,1.0,0.03,0
3120,1,32.0,R,567.0,5,3,111,5,0,227,0,0,17,1,1,1,0,1,0,Bi-Weekly,0,0,0,0,Taurus,0,0,55.0,1.83,0
41406,0,21.0,na,475.0,0,0,4,0,0,0,0,0,0,1,0,0,0,1,0,Bi-Weekly,0,0,0,0,Cancer,0,0,2.0,0.06999999999999999,0
67679,0,24.0,na,,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,na,0,0,0,0,Leo,0,0,1.0,0.11,0
21269,0,28.0,R,548.0,0,0,0,0,2,47,1,0,9,1,1,1,1,0,0,Bi-Weekly,0,0,0,0,Sagittarius,0,0,26.0,0.87,1
25788,0,23.0,na,658.0,1,0,87,1,0,125,0,0,3,1,1,1,1,0,0,Bi-Weekly,0,0,0,0,Aquarius,0,0,32.0,1.0699999999999998,0
13840,0,32.0,R,,0,0,30,0,0,70,0,0,3,1,1,1,1,0,0,Monthly,0,0,0,0,Virgo,0,0,19.0,0.83,1
25899,0,41.0,O,625.0,14,0,116,13,0,217,0,0,45,1,1,1,1,0,0,Semi-Monthly,0,0,0,0,Virgo,0,0,65.0,2.17,0
20839,0,20.0,na,550.0,0,0,135,0,0,286,0,0,21,1,1,1,1,1,5,Bi-Weekly,0,0,0,0,Libra,0,0,66.0,2.2,1
13019,0,27.0,O,567.0,2,1,48,2,0,127,0,0,18,1,1,1,0,1,0,Weekly,0,0,0,0,Gemini,0,0,30.0,1.0,0
24387,0,47.0,na,,11,1,20,11,0,30,0,0,10,1,1,1,1,0,0,Bi-Weekly,0,0,0,0,Virgo,0,0,11.0,0.6900000000000001,1
65427,1,44.0,na,,0,0,0,0,1,4,0,0,1,1,0,0,0,1,2,Semi-Monthly,0,0,0,0,Libra,0,0,2.0,0.06999999999999999,0
30419,1,24.0,na,479.0,6,2,24,6,0,55,0,0,4,1,0,0,0,1,0,Weekly,0,0,0,0,Capricorn,0,0,27.0,0.9,0
30693,0,31.0,R,565.0,17,2,62,17,0,180,0,0,22,1,1,1,0,1,0,na,0,0,0,0,Libra,0,0,43.0,1.4300000000000002,0
69531,0,20.0,na,,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,Monthly,0,0,0,0,Sagittarius,1,0,,0.0,0
34733,1,30.0,na,,2,1,0,2,0,9,0,0,2,1,1,1,0,1,0,Bi-Weekly,0,0,0,0,Libra,1,0,2.0,0.06999999999999999,0
66712,1,59.0,na,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Bi-Weekly,0,0,0,0,Gemini,0,0,,0.0,0
15359,1,21.0,na,637.0,0,0,0,0,0,3,0,0,0,1,1,1,0,0,0,Bi-Weekly,0,0,0,0,Sagittarius,0,0,,0.0,0
25997,0,37.0,R,627.0,0,0,39,0,0,74,0,0,6,1,1,1,1,0,2,na,0,1,0,0,Scorpio,0,0,40.0,1.33,0
13813,1,30.0,R,505.0,6,0,11,6,0,20,0,0,3,1,0,0,0,1,2,Bi-Weekly,0,0,0,0,Gemini,0,0,12.0,0.4,0
67807,0,36.0,na,,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,Bi-Weekly,0,0,0,0,Aquarius,0,0,1.0,0.5,0
19184,1,44.0,O,551.0,0,0,0,0,3,4,3,1,4,1,1,1,1,0,0,Monthly,0,0,0,0,Scorpio,0,1,5.0,0.16999999999999998,0
34210,1,52.0,na,518.0,0,0,0,0,0,74,0,0,1,1,1,1,1,0,0,Bi-Weekly,0,0,0,0,Pisces,1,0,39.0,1.3,0
57598,1,25.0,na,529.0,0,0,0,0,0,32,0,0,7,1,0,0,0,1,0,Monthly,0,0,0,0,Virgo,0,0,14.0,0.47,0
57608,1,22.0,na,508.0,0,0,0,0,1,67,1,0,5,1,0,0,1,0,0,Bi-Weekly,0,0,0,0,Pisces,0,0,27.0,0.9,0
8381,0,38.0,na,,0,0,27,0,0,30,0,0,2,1,0,0,1,0,0,Bi-Weekly,0,0,0,0,Libra,0,0,8.0,1.0,0
46960,0,29.0,na,575.0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,Monthly,0,0,0,0,Cancer,0,0,1.0,0.25,0
28827,0,25.0,na,489.0,0,0,3,0,0,3,0,0,0,1,0,0,0,1,0,Bi-Weekly,0,0,0,0,Libra,0,0,2.0,0.14,0
25823,1,36.0,na,582.0,0,0,83,0,0,153,0,0,15,1,1,1,1,0,0,Bi-Weekly,0,0,0,0,Pisces,0,0,29.0,0.97,1
29059,0,38.0,na,,0,0,11,0,0,28,0,0,1,1,1,1,1,0,0,Bi-Weekly,0,0,0,0,Scorpio,0,0,8.0,0.27,0
42910,0,45.0,R,610.0,48,0,76,48,0,204,0,0,58,1,1,1,0,1,0,Weekly,0,0,0,0,Sagittarius,0,0,58.0,1.93,1
57211,0,24.0,na,,0,0,2,0,0,4,0,0,0,1,1,1,0,1,2,Monthly,0,0,0,0,Pisces,0,0,1.0,0.03,0
58305,1,31.0,na,600.0,0,0,0,0,0,63,0,0,2,1,1,1,1,0,2,Weekly,0,0,0,0,Leo,1,0,21.0,0.7,0
2707,0,45.0,R,554.0,0,0,0,0,0,170,0,0,16,1,1,1,0,1,0,Bi-Weekly,0,0,0,0,Scorpio,0,0,59.0,1.97,0
6919,0,28.0,R,597.0,0,0,0,0,0,207,0,0,4,1,1,1,0,1,0,Bi-Weekly,0,0,0,0,Gemini,0,0,65.0,2.17,0
44486,0,24.0,na,518.0,0,0,37,0,0,60,0,0,4,1,1,1,0,1,2,Bi-Weekly,0,0,0,0,na,0,0,23.0,0.77,1
43254,1,42.0,na,449.0,0,0,0,0,0,5,0,0,0,1,1,1,0,1,0,na,0,0,0,0,Scorpio,0,0,7.0,0.23,0
16514,0,27.0,R,590.0,0,0,0,0,2,206,0,0,22,1,1,1,0,1,0,na,0,0,0,0,Taurus,0,0,67.0,2.23,0
8169,0,26.0,R,647.0,0,0,57,0,0,154,0,0,2,1,1,1,0,1,0,Bi-Weekly,0,0,1,0,Aquarius,1,0,39.0,1.3,1
62560,0,25.0,na,,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,Weekly,0,0,0,0,Taurus,0,0,,0.0,0
23859,0,32.0,R,440.0,0,0,87,0,0,112,0,0,8,1,1,1,0,1,0,Bi-Weekly,0,0,0,0,Cancer,1,0,37.0,1.23,1
2351,0,21.0,na,603.0,1,0,26,1,0,133,0,0,6,1,1,1,0,1,0,na,0,0,0,0,Leo,0,0,38.0,1.27,1
3606,0,33.0,na,,0,0,68,0,0,169,0,0,8,1,1,1,1,0,0,Bi-Weekly,0,0,0,0,Leo,0,0,48.0,1.6,0
46400,1,38.0,R,519.0,12,2,79,12,0,105,0,0,12,1,1,1,1,0,4,na,0,0,0,0,Pisces,0,0,37.0,1.23,1
11790,0,29.0,R,634.0,2,0,57,2,0,185,0,0,5,1,0,0,0,1,0,Bi-Weekly,0,0,0,0,Libra,0,0,46.0,1.53,1
31936,0,43.0,na,,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,Bi-Weekly,0,0,0,0,Virgo,0,0,2.0,0.06999999999999999,0
19701,0,33.0,na,,0,0,24,0,0,24,0,0,2,1,0,0,0,1,0,Bi-Weekly,0,0,0,0,Pisces,0,0,11.0,0.37,0
40595,1,24.0,R,529.0,3,0,56,3,0,93,0,0,8,1,1,1,0,1,0,Bi-Weekly,0,0,0,0,Gemini,0,0,25.0,0.83,0
48111,0,25.0,na,,0,0,10,0,0,20,0,0,1,1,1,1,1,0,0,Weekly,0,0,0,0,na,0,0,6.0,0.2,1
53996,1,19.0,O,,0,0,1,0,0,2,0,0,0,1,1,1,0,1,0,Semi-Monthly,0,0,0,0,Virgo,0,0,,0.0,0
36757,0,40.0,na,532.0,0,0,22,0,0,40,0,0,2,1,1,1,0,1,0,Weekly,0,1,0,0,na,0,0,17.0,0.5700000000000001,1
49320,1,22.0,na,417.0,0,0,0,0,0,11,0,0,0,1,1,1,0,1,0,Bi-Weekly,0,0,0,0,Sagittarius,0,0,2.0,0.06999999999999999,1
34312,0,36.0,na,,0,0,24,0,0,69,0,0,0,1,1,1,1,0,0,Bi-Weekly,0,0,0,0,Pisces,0,0,18.0,0.62,0
62235,0,27.0,na,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Bi-Weekly,0,0,0,0,Gemini,1,0,,0.0,0
1826,1,48.0,O,507.0,33,0,16,31,0,185,0,0,14,1,1,1,1,0,2,Bi-Weekly,0,0,0,0,na,0,0,47.0,1.5699999999999998,0
10539,1,39.0,na,555.0,0,0,8,0,0,23,0,0,3,1,1,1,1,0,0,Bi-Weekly,0,0,0,0,Aquarius,0,0,4.0,0.13,0
8143,0,32.0,R,503.0,0,0,59,0,2,289,0,0,14,1,1,1,1,0,0,na,0,0,0,0,Scorpio,0,0,67.0,2.23,1
51024,0,25.0,na,,0,0,2,0,0,5,0,0,0,1,0,0,0,1,0,Monthly,0,0,0,0,Libra,0,0,2.0,0.06999999999999999,0
37910,0,49.0,na,,5,1,19,5,0,35,0,0,5,1,0,0,1,0,0,Bi-Weekly,0,0,0,0,Leo,0,0,9.0,0.6900000000000001,1
21204,1,25.0,na,506.0,14,5,23,14,0,43,0,0,11,1,0,0,1,0,0,Bi-Weekly,0,0,0,0,Cancer,0,0,11.0,0.37,1
46727,0,21.0,R,560.0,11,2,53,11,0,145,0,0,11,1,0,0,0,1,0,Bi-Weekly,0,0,0,0,Cancer,0,0,28.0,0.93,0
36721,1,30.0,O,604.0,1,1,48,1,0,224,0,0,1,1,1,1,0,1,0,Bi-Weekly,0,0,0,0,Taurus,0,0,53.0,1.77,1
989,0,26.0,O,575.0,0,0,0,0,0,57,0,0,5,1,1,1,1,0,0,na,0,0,0,0,Aquarius,0,0,29.0,0.97,0
8508,0,33.0,R,475.0,0,0,116,0,0,205,0,0,7,1,1,1,1,0,0,Bi-Weekly,0,0,0,0,Leo,0,0,61.0,2.03,1
50946,1,30.0,na,537.0,0,0,0,0,0,16,0,0,1,1,1,1,1,0,2,Bi-Weekly,0,0,0,0,na,0,1,14.0,0.47,0
65668,1,42.0,R,476.0,0,0,5,0,0,50,0,0,0,1,0,0,1,0,0,na,0,0,0,0,Taurus,0,0,14.0,0.47,0
63330,1,20.0,na,,0,0,4,0,0,0,0,0,0,1,0,0,1,0,0,Bi-Weekly,0,0,0,0,Virgo,0,0,2.0,0.06999999999999999,0
50130,1,34.0,na,473.0,0,0,0,0,0,27,0,0,1,1,1,1,0,1,0,Weekly,0,0,0,0,Aquarius,0,0,20.0,0.67,0
55422,0,26.0,R,527.0,10,0,37,10,0,77,0,0,4,1,0,0,1,1,5,Semi-Monthly,0,0,0,0,Cancer,0,0,14.0,0.67,1
32734,0,31.0,na,,8,3,51,8,0,101,0,0,7,1,0,0,0,1,0,Bi-Weekly,0,0,0,0,Gemini,0,0,22.0,0.8099999999999998,1
4664,0,29.0,na,,0,0,7,0,0,12,0,0,0,1,0,0,1,0,0,Bi-Weekly,0,0,0,0,Aquarius,0,0,6.0,0.46,0
42253,0,30.0,R,595.0,13,0,89,12,0,257,0,0,44,1,1,1,0,1,0,Bi-Weekly,0,0,0,0,na,0,0,65.0,2.17,0
41211,0,20.0,R,523.0,3,0,63,3,0,107,0,0,6,1,0,0,0,1,0,Bi-Weekly,0,0,0,0,Libra,0,0,37.0,1.23,0
259,1,23.0,na,452.0,0,0,0,0,0,145,1,0,19,1,1,1,0,1,0,Bi-Weekly,0,0,0,0,Sagittarius,0,0,51.0,1.7,0
